app_name,price,avg_rating,rating_count,size_mb,primary_genre,content_rating,language_count,has_iap,has_support_url,min_ios,is_game_center,age_days,update_recency_days
"Art of Living: Meditation,Yoga",0.0,4.16854,89,368.52224,Health & Fitness,12+,20,0,0,16.1,0,2947,16
"Easy, quick, simple meditation",0.0,5,1,412.621824,Lifestyle,4+,11,0,0,14.0,0,2032,2
Namatata - Balance your Sleep,0.0,4.61904,42,68.816896,Health & Fitness,4+,2,0,0,11.0,0,3325,1254
Guided Mindful Meditations,0.0,4.72807,114,129.91488,Health & Fitness,4+,1,0,0,10.3,0,3414,2624
Meditation Timer - Meditate,0.0,4.36879,282,75.79648,Health & Fitness,4+,1,0,0,18.0,0,5970,406
Easy Mindful Meditation,0.0,4.66667,6,192.26624,Lifestyle,4+,1,0,0,9.0,0,4839,2374
Chill – Mindfulness Reminders,0.0,4.8746,5271,50.425856,Health & Fitness,4+,1,0,0,14.0,0,3859,1342
BrainWave: Altered States ™,4.99,4.8842,1304,168.741888,Lifestyle,4+,3,0,0,10.0,0,6082,768
DeepSleep-Meditation & Relax,0.0,4.4,5,61.6448,Health & Fitness,4+,3,0,0,12.0,0,5055,61
8-minute Meditation,0.0,4.33333,3,71.171072,Health & Fitness,4+,3,0,0,12.0,0,4562,586
Svitlo - Ukrainian meditations,0.0,4.5,12,157.294592,Lifestyle,4+,0,0,0,13.0,0,2152,513
SoarSound: Meditation & Sleep,0.0,4.68421,19,188.429312,Lifestyle,4+,3,0,0,10.0,0,2484,1622
MYditation: Meditation & Sleep,0.0,5,1,69.033984,Health & Fitness,4+,1,0,0,12.4,0,2698,107
Hallow: Prayer & Meditation,0.0,4.88717,312164,172.107776,Reference,4+,7,0,0,15.0,0,2541,0
Othership: Guided Breathwork,0.0,4.91051,1989,129.263616,Health & Fitness,17+,1,0,0,15.0,0,1478,155
Mind Power: Guided Meditations,0.0,4.51281,39,80.516096,Lifestyle,4+,2,0,0,15.0,0,1136,14
Simetim Meditation Timer,0.0,4.65,20,46.476288,Health & Fitness,4+,1,0,0,13.0,0,4274,735
Brainwave3D: Meditation in 3D,0.0,4.5,4,109.093888,Music,4+,2,0,0,15.6,0,1008,5
Meditate & Relax | Lojong,0.0,4.95153,681,135.702528,Health & Fitness,4+,7,0,0,13.0,0,2801,12
Meditation Secrets,0.0,5,4,96.299008,Education,17+,1,0,0,15.1,0,920,61
VaYou Biofeedback Meditation,9.99,4.78723,94,116.127744,Health & Fitness,4+,2,0,0,10.0,0,2525,27
Breathing Room Meditation,0.0,4.91414,198,75.09504,Health & Fitness,4+,1,0,0,15.0,0,2275,15
Grace: Hypnosis & Meditation,0.0,4.80016,1276,185.860096,Health & Fitness,4+,1,0,0,14.0,0,1568,231
Mindist: Record Meditations,0.0,4.77656,273,49.792,Health & Fitness,4+,1,0,0,12.1,0,1674,1281
Sacred Acoustics,0.0,4.80429,792,23.522304,Education,12+,1,0,0,12.0,0,3151,854
Heartfulness: Daily Meditation,0.0,4.73332,15,131.472384,Health & Fitness,12+,1,0,0,13.0,0,544,53
Innergy: Meditation & Sleep,0.0,4.89189,444,87.806976,Health & Fitness,17+,1,0,0,13.0,0,848,27
FitMind: Mental Fitness,0.0,4.84121,15593,42.143744,Health & Fitness,4+,1,0,0,16.1,0,2236,26
ZenView - Calm and Meditation,0.0,4.70352,597,23.616512,Health & Fitness,4+,2,0,0,9.0,0,4830,2019
Akamu: Meditation & Calming,0.0,4.86,400,55.96672,Health & Fitness,4+,1,0,0,26.0,0,1877,0
Overtone Sound Meditation,0.0,4.85714,28,155.935744,Health & Fitness,17+,1,0,0,13.0,0,420,89
At Ease Anxiety Relief,2.99,4.68571,35,227.438592,Health & Fitness,4+,1,0,0,14.7,0,5642,1502
Visual Meditation Fluid ASMR,0.0,4.82895,76,316.199936,Health & Fitness,4+,1,0,0,13.0,0,910,193
Happify: for Stress & Worry,0.0,4.50734,4701,121.863168,Health & Fitness,4+,8,0,0,12.0,0,4395,510
Pulse - Breathing & Meditation,0.0,4.29948,581,63.598592,Health & Fitness,12+,1,0,0,12.0,0,3089,1585
Centering Prayer,0.0,4.89709,17267,93.733888,Health & Fitness,4+,5,0,0,15.0,0,4255,230
M.T.O. Tamarkoz Meditation,0.0,4.97973,148,109.558784,Health & Fitness,4+,1,0,0,13.4,0,2163,392
Shiv Yog: Meditate & Manifest,0.0,4.95421,546,107.413504,Lifestyle,17+,2,0,0,15.0,0,584,66
Saged: Spiritual Meditation,0.0,4.79765,10457,228.824064,Health & Fitness,12+,1,0,0,13.0,0,2575,0
Meditation Oasis: Simply Being,0.0,4.69925,2271,71.146496,Health & Fitness,4+,1,0,0,14.5,0,5812,1478
Mind Matters Meditations,9.99,4.77888,398,188.048384,Lifestyle,4+,1,0,0,12.0,0,1838,1667
AI Meditation - Audio Sessions,0.0,4.55999,25,29.003776,Health & Fitness,4+,1,0,0,16.0,0,349,36
30 Day Meditation - Petally,0.0,4.89473,19,8.858624,Health & Fitness,4+,7,0,0,13.0,0,1925,1674
"Meditation Music - Yoga, Relax",0.0,4.63529,85,87.743488,Health & Fitness,4+,20,0,0,15.0,0,1786,301
Silence Finder Meditation,0.0,4.72549,51,10.01984,Health & Fitness,4+,2,0,0,13.0,0,3990,245
MellowMe:Meditation & Breathe,0.0,4.73356,882,154.942464,Health & Fitness,4+,3,0,0,9.1,0,2769,2060
1 Giant Mind: Learn Meditation,0.0,4.38407,841,187.795456,Health & Fitness,4+,1,0,0,13.0,0,3808,301
Bliss Brain・AI Meditation App,0.0,4.61364,44,146.535424,Health & Fitness,12+,1,0,0,16.0,0,760,149
Meditation Steps,0.0,4.62962,27,50.74432,Health & Fitness,12+,2,0,0,12.0,0,2467,145
Binaural Beats Meditation Studio & Brainwave Mind,0.0,4.66397,247,28.07296,Lifestyle,12+,1,0,0,8.0,0,3306,2989
Chakra Meditation Reiki Guided,0.0,4.84082,735,133.756928,Lifestyle,4+,2,0,0,13.0,0,871,71
Inhale - Meditation and Sleep,0.0,5,1,78.843904,Health & Fitness,4+,1,0,0,11.4,0,1820,1744
Evoke Fertility Meditations,0.0,5,28,89.013248,Health & Fitness,4+,1,0,0,10.0,0,2320,2048
"Breathe: Meditation, Breathing",0.0,4.70238,252,103.59808,Health & Fitness,4+,2,0,0,15.0,0,3065,1056
Flowing ~ Meditation in Nature,0.0,4.71802,1149,106.42944,Health & Fitness,4+,2,0,0,12.0,0,3365,135
Stress Relief Relax Meditation,0.0,4.53594,153,180.191232,Lifestyle,4+,1,0,0,9.0,0,5111,2345
Flow Meditation,0.0,5,3,140.03712,Health & Fitness,4+,1,0,0,11.0,0,336,224
Mindfulness & Guided Meditations,0.0,5,2,67.270656,Health & Fitness,4+,1,0,0,8.0,0,3672,3522
Buddhism and Mindfulness Meditation,0.0,4.67856,28,393.570304,Book,4+,1,0,0,6.0,0,3829,3829
Focus: Chakra Meditation,2.99,4.81738,115,157.144064,Health & Fitness,4+,11,0,0,10.0,0,4095,2465
Preset Meditation Timer,0.0,4.83333,6,2.029568,Health & Fitness,4+,2,0,0,14.1,0,5102,1464
Timeless | Meditation,0.0,4.68785,1243,40.087552,Health & Fitness,4+,1,0,0,12.0,0,3232,760
Walking Meditations,1.99,4.375,40,86.134784,Health & Fitness,4+,1,0,0,10.2,0,5432,3164
Ajapa Japa - Meditation Lite,0.0,4.75509,49,195.786752,Medical,4+,1,0,0,8.0,0,4609,2147
Dojo: Master Meditation,0.0,5,18,78.32064,Health & Fitness,4+,1,0,0,17.0,0,526,18
Unlimited - Meditation Player,0.0,4.39773,88,50.835456,Lifestyle,4+,1,0,0,12.4,0,541,441
Motionscape: Moving Meditation,0.0,4.7339,590,266.89024,Health & Fitness,4+,3,0,0,17.0,0,709,31
Total Relaxation Meditation,0.0,4.57143,63,180.35712,Health & Fitness,4+,1,0,0,9.0,0,5201,2084
Progress Meditation,0.0,5,3,21.856256,Health & Fitness,4+,1,0,0,11.0,0,1776,1401
Move Meditation,0.0,5,3,142.298112,Health & Fitness,4+,1,0,0,13.0,0,1141,582
Mindfulness Coach,0.0,4.76694,10302,135.808,Health & Fitness,12+,1,0,0,13.0,0,4311,257
Sahajayoga Meditation,0.0,5,5,59.559936,Health & Fitness,4+,1,0,0,14.0,0,1683,143
breathe: Meditation & Timer,0.0,4.77083,48,57.562112,Health & Fitness,4+,2,0,0,10.0,0,3549,2127
Mindworks: Guided Meditation,0.0,4.67347,49,2.321408,Health & Fitness,4+,1,0,0,15.0,0,3225,1160
Wildfulness: Meditate & Relax,2.99,4.68207,541,169.800704,Health & Fitness,4+,6,0,0,12.2,0,3469,1478
Healthy Minds Program,0.0,4.87248,7779,67.642368,Health & Fitness,4+,1,0,0,13.4,0,2891,13
H*nest Meditation,1.99,4.75342,146,183.176192,Entertainment,17+,1,0,0,10.0,0,3605,2234
Breathing Zone,0.0,4.79067,3344,22.265856,Health & Fitness,4+,1,0,0,13.0,0,5670,1328
Gratitude: Self-Care Journal,0.0,4.88389,44518,68.48512,Health & Fitness,4+,1,0,0,17.0,0,2768,3
Daily Affirmations | #Mindful,0.0,4.79764,13585,22.129664,Health & Fitness,4+,1,0,0,16.0,0,4520,126
Clarity: CBT Self Help Journal,0.0,4.84462,28221,191.312896,Medical,12+,10,0,0,16.0,0,3788,5
Mindful Magazine & Courses,0.0,5,2,117.832704,Health & Fitness,4+,1,0,0,13.0,0,36,36
